"id","method","score"
1,"Traditional",81
2,"Traditional",82
3,"Traditional",85
4,"Traditional",97
5,"Traditional",81
6,"Traditional",89
7,"Traditional",81
8,"Traditional",97
9,"Traditional",73
10,"Traditional",84
11,"Traditional",87
12,"Traditional",83
13,"Traditional",92
14,"Traditional",93
15,"Traditional",77
16,"Traditional",98
17,"Traditional",90
18,"Traditional",83
19,"Traditional",86
20,"Traditional",61
21,"Word Problem",82
22,"Word Problem",82
23,"Word Problem",79
24,"Word Problem",80
25,"Word Problem",77
26,"Word Problem",72
27,"Word Problem",75
28,"Word Problem",69
29,"Word Problem",79
30,"Word Problem",82
31,"Word Problem",66
32,"Word Problem",80
33,"Word Problem",78
34,"Word Problem",81
35,"Word Problem",64
36,"Word Problem",74
37,"Word Problem",59
38,"Word Problem",77
39,"Word Problem",67
40,"Word Problem",57
41,"Integrated",75
42,"Integrated",69
43,"Integrated",80
44,"Integrated",90
45,"Integrated",85
46,"Integrated",84
47,"Integrated",90
48,"Integrated",85
49,"Integrated",69
50,"Integrated",84
51,"Integrated",79
52,"Integrated",68
53,"Integrated",84
54,"Integrated",87
55,"Integrated",73
56,"Integrated",70
57,"Integrated",81
58,"Integrated",80
59,"Integrated",71
60,"Integrated",56
61,"Exploration",78
62,"Exploration",59
63,"Exploration",68
64,"Exploration",69
65,"Exploration",73
66,"Exploration",83
67,"Exploration",74
68,"Exploration",79
69,"Exploration",66
70,"Exploration",72
71,"Exploration",72
72,"Exploration",55
73,"Exploration",63
74,"Exploration",84
75,"Exploration",67
76,"Exploration",82
77,"Exploration",81
78,"Exploration",83
79,"Exploration",62
80,"Exploration",30
